1,Aberthaw House Hotel,Mr. Baity,28 Porthkerry Road,East Aberthaw,,Barry,,,01446 737314,01446 700434,,,,Mr James,0,,,,,,,,,,","
2,Joyce Abrahams,,142 Eaton Road,Brynhyfrdd,,Swansea,,SA5 9JU,,,,,,,0,,,,,,,,,,
3,Andys Newsbox,Mr Dillan,46 Cardiff Road,,,Newport,,,01633 267477,,,,,"02.06.99  SPOKE TO MR DILLAN DOES NOT WANT M.C. AND DOSNET NEED Ò
ANYTHING ATTHE MOMENT",0,,,,,,,,,,
4,Afan Argoed Country Park,,Cynonville,Afan Argoed,,Port Talbot,,,01639 850564,,,,,,0,,,,,,,,,,
6,Alpha Inn,Enid Griffiths & Robert Heywoo,,Tavernspite,,Whitland,,,0183 483383,,,,,,0,,,,,,,,,,
7,Bridgend Inn,,1 Bridge Street,,,LLangennech,,,,,,,,,0,,,,,,,,,,
8,G.V. Bruno Garage,,Cecil Road,Gorseinon,,Swansea,,,0792 896766,,,,,,0,,,,,,,,,,
9,Bennets Navy Tavern,Mrs Christine Lloyd,20 High Street,,,Fishguard,,SA65 9AR,01348 875120,01348 873120,,,,,0,,,,,,,,,,
10,Bon Appetite,,14 Market Street,,,Bridgend,,,,,,,,,0,,,,,,,,,,
11,Bargain Supplies,,Indoor Market,,,Cwmbran,,,,,,,,,0,,,,,,,,,,
12,Bryn Road Filling Station,,Bryn Road,Waunarlwydd,,Swansea,,,,,,,,,0,,,,,,,,,,
13,Birchgrove Inn,,398 Heol Las Close,Birchgrove,,Skewen,,,,,,,,,0,,,,,,,,,,
15,Bobs Fruit & Veg,,69 Neath Road,,,Briton Ferry,,,,,,,,,0,,,,,,,,,,
16,Best Bib & Tucker,,Wind Street,,,Swansea,,,,,,,,,0,,,,,,,,,,
17,Better Bodies,,227-234 Neath Road,Landore,,Swansea,,,0792 456156,,,,,,0,,,,,,,,,,
18,Brytec Electronics,,164 Bute Street,Treherbert,,Rhondda,,,0443 775154,,,,,,0,,,,,,,,,,
19,Bargain Supplies,,High Street,,,Bargoed,,,,,,,,,0,,,,,,,,,,
20,Body Reform,,15-17 Shoppers Walk,,,Swansea,,,0792 642482,,,,,,0,,,,,,,,,,
21,Bridgend Goldsmiths lTD,,9  Adare Street,,,Bridgend,,CF3 1ET,,,,,,ON STOP,0,,,,,,,,,,
22,Bosuns Locker,,,Port Eynon,,Swansea,,,01792 391044,,,,,,0,,,,,,,,,,
23,Brian Jones & Co Ltd,,23 The Market,,,Bridgend,,,,,,,,,0,,,,,,,,,,
24,Artisan,,44 Commercial Street,,,Ystradgynlais,,SA9 1JH,01639 842420,,,,,,0,,,,,,,,,,
25,Barbican (Moonraker),,"2 Stepney Street,",,,LLanelli,,SA15 1UP,01554 755205,,,,,,0,,,,,,,,,,
26,Moore & Moorish,BRITISH HARDWARE FEDERATION,"The Airfield,","Torrington Road,",,"Winkleigh,",,EX19 8HR,0837/83491,,,,,,0,,,,,,,,,,
27,Bernsteins,,17 Church Street,,,Abertillery,,,,,,,,,0,,,,,,,,,,
28,Brynmawr Royal British Legion,,Church House,61 Beaufort Street,,Brynmawr,,,01495 310284,,,,,,0,,,,,,,,,,
29,Brecon Road Service Station,,Brecon Road,,,Abergavenny,,,,,,,,,0,,,,,,,,,,
30,Author Newsagents,,26 Dillwyn Street,,,LLanelli,,,,,,,,,0,,,,,,,,,,
31,Bell Inn,Karen Paskins,58 Commercial Road,Taibach,,Port Talbot,,,01639 894830,,,,,,0,,,,,,,,,,
32,Bees Nees,,Newport House,Commercial Street,,Newport,,,,,,,,,0,,,,,,,,,,
33,Bizzie Lizzie Restaurant,"Gill .E. Jenkins,",55 Walter Road,,,Swansea,,SA1 5PY,01792/473379,,,,,01.06.99  DONT WANT MAIN CONT,0,,,,,,,,,,
34,Brynymor House Of Beauty,,20 Brynymor Road,,,Swansea,,,0792 468804,,,,,,0,,,,,,,,,,
